SerialNo,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other
1,Afghanistan,AFG,1990,0.270508477,0.092876423,0.128663965,0.031033244,0.017935561,0,
2,Afghanistan,AFG,1991,0.27747427,0.095271004,0.131843614,0.031932698,0.018427702,0,
3,Afghanistan,AFG,1992,0.284440063,0.097665584,0.135023263,0.032832153,0.018919842,0,
4,Afghanistan,AFG,1993,0.291405856,0.100060165,0.138202912,0.033731607,0.019411982,0,
5,Afghanistan,AFG,1994,0.298371649,0.102454746,0.141382561,0.034631061,0.019904123,0,
6,Afghanistan,AFG,1995,0.305337442,0.104849326,0.144562211,0.035530516,0.020396263,0,
7,Afghanistan,AFG,1996,0.312303235,0.107243907,0.14774186,0.03642997,0.020888404,0,
8,Afghanistan,AFG,1997,0.319269028,0.109638488,0.150921509,0.037329425,0.021380544,0,
9,Afghanistan,AFG,1998,0.326234821,0.112033068,0.154101158,0.038228879,0.021872684,0,
10,Afghanistan,AFG,1999,0.333200614,0.114427649,0.157280807,0.039128333,0.022364825,0,
11,Afghanistan,AFG,2000,0.340166407,0.11682223,0.160460456,0.040027788,0.022856965,0,
12,Antigua and Barbuda,ATG,1990,3.47145,0,3.47145,0,0,0,
13,Antigua and Barbuda,ATG,1991,3.339598,0,3.339598,0,0,0,
14,Antigua and Barbuda,ATG,1992,3.229991,0,3.229991,0,0,0,
15,Antigua and Barbuda,ATG,1993,3.283653,0,3.283653,0,0,0,
16,Antigua and Barbuda,ATG,1994,3.223044,0,3.223044,0,0,0,
17,Antigua and Barbuda,ATG,1995,3.267698,0,3.267698,0,0,0,
18,Antigua and Barbuda,ATG,1996,3.412132,0,3.412132,0,0,0,
19,Antigua and Barbuda,ATG,1997,3.601337,0,3.601337,0,0,0,
20,Antigua and Barbuda,ATG,1998,3.736097,0,3.736097,0,0,0,
21,Antigua and Barbuda,ATG,1999,3.821785,0,3.821785,0,0,0,
22,Antigua and Barbuda,ATG,2000,3.905403,0,3.905403,0,0,0,
23,Argentina,ARG,1990,3.434042,0.094076,1.813496,1.324029,0.055825,0.146615,
24,Argentina,ARG,1991,3.549404,0.081236,1.849611,1.428269,0.066333,0.123957,
25,Argentina,ARG,1992,3.611462,0.0835,1.895619,1.438933,0.074326,0.119083,
26,Argentina,ARG,1993,3.461271,0.067626,1.973546,1.19929,0.081141,0.139668,
27,Argentina,ARG,1994,3.544031,0.10326,1.948553,1.23742,0.088435,0.166363,
28,Argentina,ARG,1995,3.656054,0.105899,1.798076,1.522215,0.075001,0.154864,
29,Argentina,ARG,1996,3.807982,0.087587,1.862732,1.625956,0.068439,0.163269,
30,Argentina,ARG,1997,3.843019,0.077544,1.866988,1.71722,0.08848,0.092787,
31,Argentina,ARG,1998,3.848733,0.07837,1.92022,1.70048,0.090608,0.059056,
32,Argentina,ARG,1999,4.018362,0.058781,1.984144,1.84489,0.089761,0.040787,
33,Argentina,ARG,2000,3.840177,0.044676,1.819061,1.873127,0.074749,0.028565,
34,Armenia,ARM,1990,2.515063,0.195273,1.023371,1.180563,0.088707,0.02715,
35,Armenia,ARM,1991,2.010145,0.167022,0.773996,0.961519,0.082778,0.02483,
36,Armenia,ARM,1992,1.640187,0.104552,0.496111,0.972747,0.066777,0,
37,Armenia,ARM,1993,0.744802,0.002123,0.271694,0.436196,0.03479,0,
38,Armenia,ARM,1994,0.80426,0.028237,0.279113,0.478945,0.017964,0,
39,Armenia,ARM,1995,1.033225,0.002205,0.201792,0.787321,0.041906,0,
40,Armenia,ARM,1996,0.78676,0.004443,0.111067,0.618645,0.052604,0,
41,Armenia,ARM,1997,0.999334,0.00448,0.11984,0.818723,0.056291,0,
42,Armenia,ARM,1998,1.048344,0.004518,0.125367,0.860628,0.057832,0,
43,Armenia,ARM,1999,0.951187,0.002286,0.182855,0.709708,0.056338,0,
44,Armenia,ARM,2000,1.101904,0,0.248621,0.809462,0.043821,0,
45,Aruba,ABW,1990,7.415875,0,7.415875,0,0,0,
46,Aruba,ABW,1991,7.828598,0,7.828598,0,0,0,
47,Aruba,ABW,1992,7.673353,0,7.673353,0,0,0,
48,Aruba,ABW,1993,8.962521,0,8.962521,0,0,0,
49,Aruba,ABW,1994,8.827734,0,8.827734,0,0,0,
50,Aruba,ABW,1995,9.177833,0,9.177833,0,0,0,
51,Aruba,ABW,1996,9.134971,0,9.134971,0,0,0,
52,Aruba,ABW,1997,9.265411,0,9.265411,0,0,0,
53,Aruba,ABW,1998,9.555806,0,9.555806,0,0,0,
54,Aruba,ABW,1999,9.321653,0,9.321653,0,0,0,
55,Aruba,ABW,2000,26.688096,0,26.688096,0,0,0,
56,Australia,AUS,1990,16.315938,8.322372,5.21129,2.021047,0.203125,0.426589,0.131515
57,Australia,AUS,1991,16.184767,8.458231,5.10944,1.898331,0.184298,0.405371,0.129096
58,Australia,AUS,1992,16.293502,8.592776,5.034606,1.945338,0.167411,0.41825,0.135121
59,Australia,AUS,1993,16.383765,8.513086,5.126423,2.023083,0.170416,0.404772,0.145985
60,Australia,AUS,1994,16.494706,8.501654,5.162678,2.079807,0.195685,0.386406,0.168476
61,Australia,AUS,1995,16.941788,8.649611,5.339474,2.212464,0.186511,0.392197,0.161532
62,Australia,AUS,1996,17.125455,8.806092,5.419386,2.183483,0.178105,0.371245,0.167144
63,Australia,AUS,1997,17.396973,9.107437,5.344199,2.231057,0.172979,0.36324,0.178061
64,Australia,AUS,1998,17.959464,9.547336,5.329969,2.337879,0.186833,0.37104,0.186407
65,Australia,AUS,1999,18.269805,9.745037,5.340145,2.422689,0.187225,0.381106,0.193604
66,Australia,AUS,2000,18.384487,9.768724,5.381089,2.449993,0.190391,0.418176,0.176112
67,Austria,AUT,1990,8.093169,2.362184,3.76357,1.541439,0.264811,0.013304,0.14786
68,Austria,AUT,1991,8.476922,2.411065,4.049568,1.611896,0.258519,0.014333,0.13154
69,Austria,AUT,1992,7.683372,1.83474,3.845521,1.596599,0.268467,0.015331,0.122715
70,Austria,AUT,1993,7.674692,1.679089,3.954933,1.647258,0.257027,0.014193,0.122191
71,Austria,AUT,1994,7.692873,1.695763,3.87049,1.720872,0.264922,0.016094,0.124732
72,Austria,AUT,1995,8.055957,1.940696,3.882032,1.874737,0.205268,0.016008,0.137216
73,Austria,AUT,1996,8.465276,1.893417,4.244387,1.984913,0.205358,0.008949,0.128252
74,Austria,AUT,1997,8.442677,2.027803,4.123441,1.920444,0.221024,0.015149,0.134817
75,Austria,AUT,1998,8.387597,1.718456,4.345563,1.970583,0.200439,0.017806,0.13475
76,Austria,AUT,1999,8.215235,1.736258,4.108528,2.014887,0.201136,0.021364,0.133062
77,Austria,AUT,2000,8.257958,1.966514,4.015163,1.905778,0.213666,0.020563,0.136275
78,Azerbaijan,AZE,1990,6.909932,0.046113,3.025596,3.748151,0.064348,0.025723,
79,Azerbaijan,AZE,1991,6.627126,0.033306,2.974902,3.533404,0.061936,0.023579,
80,Azerbaijan,AZE,1992,7.349459,0.008629,4.085206,2.956765,0.049587,0.249273,
81,Azerbaijan,AZE,1993,6.253931,0.00142,3.981586,2.232926,0.037999,0,
82,Azerbaijan,AZE,1994,5.362381,0.000468,3.200311,2.131355,0.030247,0,
83,Azerbaijan,AZE,1995,4.222076,0.001858,2.520433,1.686791,0.012994,0,
84,Azerbaijan,AZE,1996,3.930295,0.001844,2.436776,1.476541,0.015134,0,
85,Azerbaijan,AZE,1997,3.725249,0.001832,2.318836,1.382691,0.021889,0,
86,Azerbaijan,AZE,1998,3.93799,0.000456,2.605158,1.31807,0.014307,0,
87,Azerbaijan,AZE,1999,3.526508,0,2.07092,1.442725,0.012863,0,
88,Azerbaijan,AZE,2000,3.602577,0,2.193389,1.39441,0.014778,0,
89,Bahamas,BHS,1990,7.472054,0.013536,7.458517,0,0,0,
90,Bahamas,BHS,1991,7.233552,0.013297,7.220255,0,0,0,
91,Bahamas,BHS,1992,6.627017,0.01302,6.613998,0,0,0,
92,Bahamas,BHS,1993,6.052331,0.012715,6.039616,0,0,0,
93,Bahamas,BHS,1994,6.01949,0.012489,6.007001,0,0,0,
94,Bahamas,BHS,1995,6.140222,0.012232,6.12799,0,0,0,
95,Bahamas,BHS,1996,5.947798,0.01204,5.935758,0,0,0,
96,Bahamas,BHS,1997,5.185836,0.011813,5.174023,0,0,0,
97,Bahamas,BHS,1998,6.308068,0.011596,6.296472,0,0,0,
98,Bahamas,BHS,1999,6.349353,0.011461,6.337892,0,0,0,
99,Bahamas,BHS,2000,6.234168,0.011273,6.222895,0,0,0,
100,Bahrain,BHR,1990,23.976315,0,3.653959,20.202993,0.119364,0,
101,Bahrain,BHR,1991,22.144599,0,3.469548,18.559002,0.116049,0,
102,Bahrain,BHR,1992,19.610753,0,1.520378,17.927239,0.163137,0,
103,Bahrain,BHR,1993,25.461367,0,3.499529,21.801807,0.160031,0,
104,Bahrain,BHR,1994,24.870384,0,4.063878,20.652901,0.153605,0,
105,Bahrain,BHR,1995,24.124093,0,2.713924,21.280986,0.129183,0,
106,Bahrain,BHR,1996,24.638212,0,3.259309,21.257875,0.121028,0,
107,Bahrain,BHR,1997,26.49053,0,4.177772,22.208451,0.104307,0,
108,Bahrain,BHR,1998,27.311216,0,4.462286,22.714616,0.134313,0,
109,Bahrain,BHR,1999,25.990287,0,3.033336,22.869131,0.08782,0,
110,Bahrain,BHR,2000,26.416889,0,3.677174,22.691356,0.048358,0,
111,Bangladesh,BGD,1990,0.131422,0.009983,0.04981,0.070699,0.000931,0,
112,Bangladesh,BGD,1991,0.134947,0.003119,0.048197,0.082911,0.00072,0,
113,Bangladesh,BGD,1992,0.138219,0.002898,0.048306,0.086338,0.000677,0,
114,Bangladesh,BGD,1993,0.141625,0.001066,0.048296,0.091617,0.000645,0,
115,Bangladesh,BGD,1994,0.151693,0.000856,0.05097,0.099246,0.000621,0,
116,Bangladesh,BGD,1995,0.178632,0.010358,0.057078,0.110611,0.000586,0,
117,Bangladesh,BGD,1996,0.179291,0.005654,0.059754,0.1126,0.001282,0,
118,Bangladesh,BGD,1997,0.189495,0.010056,0.068892,0.108667,0.00188,0,
119,Bangladesh,BGD,1998,0.186552,0.002829,0.066366,0.115197,0.00216,0,
120,Bangladesh,BGD,1999,0.197823,0.001387,0.069837,0.123198,0.0034,0,
121,Bangladesh,BGD,2000,0.205309,0.009699,0.059501,0.130657,0.005452,0,
122,Barbados,BRB,1990,4.133696,0,3.552637,0.198155,0.382904,0,
123,Barbados,BRB,1991,4.63373,0,4.082066,0.169498,0.382167,0,
124,Barbados,BRB,1992,3.74096,0,3.266752,0.140808,0.3334,0,
125,Barbados,BRB,1993,4.216717,0,3.95808,0.140857,0.11778,0,
126,Barbados,BRB,1994,2.821812,0,2.534022,0.140001,0.147789,0,
127,Barbados,BRB,1995,3.075205,0,2.807684,0.125717,0.141803,0,
128,Barbados,BRB,1996,3.129887,0,2.816392,0.11154,0.201956,0,
129,Barbados,BRB,1997,3.37445,0,2.909218,0.139197,0.326035,0,
130,Barbados,BRB,1998,4.170274,0,3.557794,0.125079,0.487401,0,
131,Barbados,BRB,1999,4.400391,0,3.758731,0.166438,0.475222,0,
132,Barbados,BRB,2000,4.351262,0,3.710282,0.138443,0.502537,0,
133,Belarus,BLR,1990,10.389298,0.977302,6.419356,2.549641,0.09444,0.000689,0.347871
134,Belarus,BLR,1991,9.951756,0.943981,6.172439,2.427348,0.090536,0.000657,0.316796
